paper_num,output
0,"{'perovskite_composition': 'Cs0.05FA0.85MA0.1PbI3', 'electron_transport_layer': 'C60', 'hole_transport_layer': '2PACz', 'structure_pin_nip': 'PIN', 'passivating_molecule': '4-chlorobenzenesulfonate', 'control_pce': 24.0, 'treated_pce': 26.9, 'control_voc': None, 'treated_voc': 1.18, 'test_1': {'stability_type': 'ISOSL3', 'humidity': 50.0, 'temperature': 65.0, 'time': 1200.0, 'efficiency_cont': None, 'efficiency_tret': 95.0}, 'test_3': {'stability_type': 'ISOSD2', 'humidity': None, 'temperature': 85.0, 'time': 1500.0, 'efficiency_cont': None, 'efficiency_tret': 95.0}, 'test_2': {'stability_type': 'ISOSL3', 'humidity': 50.0, 'temperature': 85.0, 'time': 540.0, 'efficiency_cont': None, 'efficiency_tret': 87.0}}"
2,"{'perovskite_composition': '(FAPbI3)0.95(MAPbBr 3)0.05', 'electron_transport_layer': 'tin dioxide', 'hole_transport_layer': 'Spiro-OMeTAD', 'structure_pin_nip': 'NIP', 'passivating_molecule': 'butylammonium lead tetra iodide', 'control_pce': 22.3, 'treated_pce': 24.0, 'control_voc': None, 'treated_voc': 1.18, 'test_2': {'stability_type': 'ISOSD', 'humidity': 85.0, 'temperature': 85.0, 'time': 1056.0, 'efficiency_cont': None, 'efficiency_tret': 94.0}, 'test_1': {'stability_type': 'ISOSLT', 'humidity': None, 'temperature': None, 'time': 1620.0, 'efficiency_cont': None, 'efficiency_tret': 98.0}, 'test_3': {'stability_type': 'ISOSD', 'humidity': 85.0, 'temperature': None, 'time': 1083.0, 'efficiency_cont': 58.6, 'efficiency_tret': 97.3}}"
3,"{'perovskite_composition': 'Cs0.05(MA0.10FA0.85)Pb(I0.90Br0.10)3', 'electron_transport_layer': 'tin dioxide', 'hole_transport_layer': 'Spiro-OMeTAD', 'structure_pin_nip': 'NIP', 'passivating_molecule': 'Barium methylammonium lead iodide', 'control_pce': 21.0, 'treated_pce': 24.5, 'control_voc': None, 'treated_voc': 1.2, 'test_1': {'stability_type': 'ISOSL1', 'humidity': '70+-5', 'temperature': '60+-5', 'time': 2000.0, 'efficiency_cont': 75.0, 'efficiency_tret': 99.0}}"
4,"{'perovskite_composition': '(MAPbBr3)0.05(FAPbI3)0.95', 'electron_transport_layer': 'tin dioxide', 'hole_transport_layer': 'Spiro-OMeTAD', 'structure_pin_nip': 'NIP', 'passivating_molecule': '4vinylbenzylammonium bromide', 'control_pce': 19.9, 'treated_pce': 21.9, 'control_voc': 1.06, 'treated_voc': 1.14}"
5,"{'perovskite_composition': 'FA(MA)PbI 3', 'electron_transport_layer': 'indium tin oxide', 'hole_transport_layer': 'Spiro-OMeTAD', 'structure_pin_nip': 'NIP', 'passivating_molecule': 'iso-butylammonium iodide', 'control_pce': None, 'treated_pce': 22.1, 'control_voc': None, 'treated_voc': 1.13}"
6,"{'perovskite_composition': 'MAPbI 3', 'electron_transport_layer': 'Titanium dioxide', 'hole_transport_layer': 'Spiro-OMeTAD', 'structure_pin_nip': None, 'passivating_molecule': 'phenylethylammonium iodide', 'control_pce': 16.4, 'treated_pce': 17.1, 'control_voc': 1.05, 'treated_voc': 1.1, 'test_1': {'stability_type': 'ISOSD', 'humidity': None, 'temperature': None, 'time': 1344.0, 'efficiency_cont': 16.8, 'efficiency_tret': 75.6}, 'test_2': {'stability_type': 'ISOSL', 'humidity': 55.0, 'temperature': None, 'time': 336.0, 'efficiency_cont': 4.4, 'efficiency_tret': 76.8}}"
7,"{'perovskite_composition': 'Cs0.05(MA)0.16(FA)0.79Pb(I0.83Br0.17 )3', 'electron_transport_layer': 'C60', 'hole_transport_layer': None, 'structure_pin_nip': 'NIP', 'passivating_molecule': 'phenethylammonium iodide', 'control_pce': None, 'treated_pce': 5.94, 'control_voc': None, 'treated_voc': None, 'test_4': {'stability_type': 'ISOSL3', 'humidity': None, 'temperature': None, 'time': 100.0, 'efficiency_cont': 0.0, 'efficiency_tret': 95.0}}"
7,"{'perovskite_composition': 'Cs0.05(MA)0.16(FA)0.79Pb(I0.83Br0.17 )3', 'electron_transport_layer': 'C60', 'hole_transport_layer': None, 'structure_pin_nip': 'NIP', 'passivating_molecule': '(ethylenedioxy)bis(ethylammonium) lead iodide', 'control_pce': None, 'treated_pce': 21.0, 'control_voc': None, 'treated_voc': None, 'test_1': {'stability_type': 'ISOSL1', 'humidity': 65.0, 'temperature': None, 'time': 1000.0, 'efficiency_cont': None, 'efficiency_tret': 90.0}}"
7,"{'perovskite_composition': 'Cs0.05(MA)0.16(FA)0.79Pb(I0.83Br0.17 )3', 'electron_transport_layer': 'C60', 'hole_transport_layer': None, 'structure_pin_nip': 'NIP', 'passivating_molecule': 'dodecylammonium iodide', 'control_pce': None, 'treated_pce': None, 'control_voc': 1.09, 'treated_voc': 1.13, 'test_5': {'stability_type': 'ISOSD1', 'humidity': 85.0, 'temperature': None, 'time': 100.0, 'efficiency_cont': 60.0, 'efficiency_tret': 90.0}, 'test_6': {'stability_type': 'ISOST', 'humidity': None, 'temperature': 65.0, 'time': 100.0, 'efficiency_cont': 40.0, 'efficiency_tret': 80.0}}"
7,"{'perovskite_composition': 'Cs0.05(MA)0.16(FA)0.79Pb(I0.83Br0.17 )3', 'electron_transport_layer': 'C60', 'hole_transport_layer': None, 'structure_pin_nip': 'NIP', 'passivating_molecule': 'phenylethylammonium lead iodide', 'control_pce': None, 'treated_pce': None, 'control_voc': 1.05, 'treated_voc': 1.11, 'test_7': {'stability_type': 'ISOSD', 'humidity': 60.0, 'temperature': None, 'time': 1000.0, 'efficiency_cont': None, 'efficiency_tret': 90.0}, 'test_8': {'stability_type': 'ISOST', 'humidity': None, 'temperature': 60.0, 'time': 100.0, 'efficiency_cont': None, 'efficiency_tret': 75.0}}"
