first_num,id,text,memory,output,second_num
0,0_54,"			 of 5 Downloaded from https://www.science.org at University of California San Diego on November 13, 2024","{""perovskite_composition"": ""Cs0.05FA0.85MA0.1PbI3"", ""electron_transport_layer"": ""C60"", ""hole_transport_layer"": ""2PACz"", ""structure_pin_nip"": ""PIN"", ""test_2"": {""stability_type"": ""ISOSD2"", ""passivating_molecule"": ""4-chlorobenzenesulfonate"", ""humidity"": null, ""temperature"": ""85"", ""time"": ""1500"", ""control_pce"": ""24"", ""treated_pce"": ""26.9"", ""control_voc"": null, ""treated_voc"": null, ""efficiency_cont"": null, ""efficiency_tret"": ""95""}, ""test_1"": {""stability_type"": null, ""passivating_molecule"": ""4-chlorobenzenesulfonate"", ""humidity"": null, ""temperature"": ""65"", ""time"": ""1200"", ""control_pce"": ""24"", ""treated_pce"": null, ""control_voc"": null, ""treated_voc"": ""1.18"", ""efficiency_cont"": null, ""efficiency_tret"": ""95""}, ""test_1_2"": {""stability_type"": ""ISOSL3"", ""passivating_molecule"": null, ""humidity"": ""50"", ""temperature"": ""85"", ""time"": ""540"", ""control_pce"": null, ""treated_pce"": null, ""control_voc"": null, ""treated_voc"": null, ""efficiency_cont"": null, ""efficiency_tret"": ""87""}}","{""perovskite_composition"": ""Cs0.05FA0.85MA0.1PbI3"", ""electron_transport_layer"": ""C60"", ""hole_transport_layer"": ""2PACz"", ""structure_pin_nip"": ""PIN"", ""test_2"": {""stability_type"": ""ISOSD2"", ""passivating_molecule"": ""4-chlorobenzenesulfonate"", ""humidity"": null, ""temperature"": ""85"", ""time"": ""1500"", ""control_pce"": ""24"", ""treated_pce"": ""26.9"", ""control_voc"": null, ""treated_voc"": null, ""efficiency_cont"": null, ""efficiency_tret"": ""95""}, ""test_1"": {""stability_type"": null, ""passivating_molecule"": ""4-chlorobenzenesulfonate"", ""humidity"": null, ""temperature"": ""65"", ""time"": ""1200"", ""control_pce"": ""24"", ""treated_pce"": null, ""control_voc"": null, ""treated_voc"": ""1.18"", ""efficiency_cont"": null, ""efficiency_tret"": ""95""}, ""test_1_2"": {""stability_type"": ""ISOSL3"", ""passivating_molecule"": null, ""humidity"": ""50"", ""temperature"": ""85"", ""time"": ""540"", ""control_pce"": null, ""treated_pce"": null, ""control_voc"": null, ""treated_voc"": null, ""efficiency_cont"": null, ""efficiency_tret"": ""87""}}",54
1,1_22,			 NAture PhotoNiCS | VOL 13 | JULY 2019 | 460-466 | www.nature.com/naturephotonics,"{""perovskite_composition"": null, ""electron_transport_layer"": ""TinOxide"", ""hole_transport_layer"": ""PTAA"", ""structure_pin_nip"": ""PIN"", ""test_1"": {""stability_type"": ""ISOST"", ""passivating_molecule"": ""phenethylammonium"", ""humidity"": null, ""temperature"": ""85"", ""time"": ""500"", ""control_pce"": null, ""treated_pce"": ""19.1"", ""control_voc"": null, ""treated_voc"": ""1.16"", ""efficiency_cont"": null, ""efficiency_tret"": null}}","{""perovskite_composition"": null, ""electron_transport_layer"": ""TinOxide"", ""hole_transport_layer"": ""PTAA"", ""structure_pin_nip"": ""PIN"", ""test_1"": {""stability_type"": ""ISOST"", ""passivating_molecule"": ""phenethylammonium"", ""humidity"": null, ""temperature"": ""85"", ""time"": ""500"", ""control_pce"": null, ""treated_pce"": ""19.1"", ""control_voc"": null, ""treated_voc"": ""1.16"", ""efficiency_cont"": null, ""efficiency_tret"": null}}",22
2,2_75,			 Nature eNerGY | VOL 6 | JANUARY 2021 | 63-71 | www.nature.com/natureenergy,"{""perovskite_composition"": ""(FAPbI3)0.95(MAPbBr 3)0.05"", ""electron_transport_layer"": ""tin dioxide"", ""hole_transport_layer"": ""Spiro-OMeTAD"", ""structure_pin_nip"": ""NIP"", ""test_2"": {""stability_type"": ""ISOSLT"", ""passivating_molecule"": ""butylammonium lead tetra iodide"", ""humidity"": null, ""temperature"": ""room temperature"", ""time"": ""1620"", ""control_pce"": null, ""treated_pce"": ""24.06"", ""control_voc"": null, ""treated_voc"": null, ""efficiency_cont"": null, ""efficiency_tret"": ""98""}, ""test_1"": {""stability_type"": ""ISOSL"", ""passivating_molecule"": ""butylammonium lead tetra iodide"", ""humidity"": ""85"", ""temperature"": ""room temperature"", ""time"": ""1620"", ""control_pce"": ""22.39"", ""treated_pce"": ""24.35"", ""control_voc"": null, ""treated_voc"": ""1.185"", ""efficiency_cont"": ""58.6"", ""efficiency_tret"": ""98""}, ""test_3"": {""stability_type"": ""ISOSD"", ""passivating_molecule"": null, ""humidity"": ""85"", ""temperature"": ""85"", ""time"": ""1056"", ""control_pce"": null, ""treated_pce"": ""21.34"", ""control_voc"": null, ""treated_voc"": null, ""efficiency_cont"": null, ""efficiency_tret"": ""94""}}","{""perovskite_composition"": ""(FAPbI3)0.95(MAPbBr 3)0.05"", ""electron_transport_layer"": ""tin dioxide"", ""hole_transport_layer"": ""Spiro-OMeTAD"", ""structure_pin_nip"": ""NIP"", ""test_2"": {""stability_type"": ""ISOSLT"", ""passivating_molecule"": ""butylammonium lead tetra iodide"", ""humidity"": null, ""temperature"": ""room temperature"", ""time"": ""1620"", ""control_pce"": null, ""treated_pce"": ""24.06"", ""control_voc"": null, ""treated_voc"": null, ""efficiency_cont"": null, ""efficiency_tret"": ""98""}, ""test_1"": {""stability_type"": ""ISOSL"", ""passivating_molecule"": ""butylammonium lead tetra iodide"", ""humidity"": ""85"", ""temperature"": ""room temperature"", ""time"": ""1620"", ""control_pce"": ""22.39"", ""treated_pce"": ""24.35"", ""control_voc"": null, ""treated_voc"": ""1.185"", ""efficiency_cont"": ""58.6"", ""efficiency_tret"": ""98""}, ""test_3"": {""stability_type"": ""ISOSD"", ""passivating_molecule"": null, ""humidity"": ""85"", ""temperature"": ""85"", ""time"": ""1056"", ""control_pce"": null, ""treated_pce"": ""21.34"", ""control_voc"": null, ""treated_voc"": null, ""efficiency_cont"": null, ""efficiency_tret"": ""94""}}",75
3,3_52,"			 of 6 RESEARCH | REPORT Downloaded from https://www.science.org at University of California San Diego on November 07, 2024","{""perovskite_composition"": ""Cs0.05(MA0.10FA0.85)Pb(I0.90Br0.10)3"", ""electron_transport_layer"": ""tin dioxide"", ""hole_transport_layer"": ""Spiro-OMeTAD"", ""structure_pin_nip"": ""NIP"", ""test_1"": {""stability_type"": ""ISOSL1"", ""passivating_molecule"": null, ""humidity"": null, ""temperature"": null, ""time"": ""2000"", ""control_pce"": null, ""treated_pce"": ""24.5"", ""control_voc"": null, ""treated_voc"": ""1.20"", ""efficiency_cont"": ""25"", ""efficiency_tret"": ""99""}}","{""perovskite_composition"": ""Cs0.05(MA0.10FA0.85)Pb(I0.90Br0.10)3"", ""electron_transport_layer"": ""tin dioxide"", ""hole_transport_layer"": ""Spiro-OMeTAD"", ""structure_pin_nip"": ""NIP"", ""test_1"": {""stability_type"": ""ISOSL1"", ""passivating_molecule"": null, ""humidity"": null, ""temperature"": null, ""time"": ""2000"", ""control_pce"": null, ""treated_pce"": ""24.5"", ""control_voc"": null, ""treated_voc"": ""1.20"", ""efficiency_cont"": ""25"", ""efficiency_tret"": ""99""}}",52
4,4_26," Proppe 1,2,10  , Andrew Johnston 2,10 , Sam Teale 2,10 , Arup Mahata3,4  , Rafael Quintero-Bermudez 2 , Eui Hyuk Jung 2 , Luke Grater 2 , Teng Cui 5 , Tobin Filleter 5 , Chang-Yong Kim6  , Shana O. Kelley1,7  , Filippo De Angelis3,4,8,9  & Edward H. Sargent 2 ✉ ARTICLE Multication perovskite 2D/3D interfaces form via progressive dimensional reduction Andrew H. https://doi.org/10.1038/s41467-021-23616-9 OPEN of solar cells tested No Yes Page S14 of supporting information Statistical analysis of the device performance No Yes Page S14 of supporting information 9. Long-term stability analysis Type of analysis, bias conditions and environmental Yes We did not perform long-term stability tests in this work conditions For instance: illumination type, temperature, atmosphere No humidity, encapsulation method, preconditioning temperature Many of the best-performing perovskite photovoltaic devices make use of 2D/3D interfaces, which improve efficiency and stabilitybut it remains unclear how the conversion of 3D-to-2D perovskite occurs and how these interfaces are assembled. Here, we use in situ Grazing-Incidence Wide-Angle X-Ray Scattering to resolve 2D/3D interface formation during spincoating. We observe progressive dimensional reduction from 3D to n = 3 → 2 → 1 when we expose (MAPbBr 3 ) 0.05 (FAPbI 3 ) 0.95 perovskites to vinylbenzylammonium ligand cations. Density functional theory simulations suggest ligands incorporate sequentially into the 3D lattice, driven by phenyl ring stacking, progressively bisecting the 3D perovskite into lowerdimensional fragments to form stable interfaces. Slowing the 2D/3D transformation with higher concentrations of antisolvent yields thinner 2D layers formed conformally onto 3D grains, improving carrier extraction and device efficiency (20% 3D-only, 22% 2D/3D). Controlling this progressive dimensional reduction has potential to further improve the performance of 2D/3D perovskite photovoltaics. 1 Department of Chemistry, University of Toronto, Toronto, ON, Canada. 2   The Edward S. Rogers Department of Electrical and Computer Engineering, University of Toronto, Toronto, ON, Canada. 3 D3-Computation, Istituto Italiano di Tecnologia, Genova, Italy. 4   Computational Laboratory for Hybrid/Organic Photovoltaics (CLHYO), Istituto CNR di Scienze e Tecnologie Chimiche (CNR-SCITEC), Istituto CNR di Scienze e Tecnologie Molecolari (ISTM-CNR), Perugia, Italy. 5   Department of Mechanical and Industrial Engineering, Toronto, ON, Canada. 6   Canadian Light Source, Saskatoon, SK, Canada. 7   Department of Pharmaceutical Sciences, Leslie Dan Faculty of Pharmacy, University of Toronto, Toronto, ON, Canada. 8   Department of Chemistry, Biology and Biotechnology, University of Perugia, Perugia, Italy. 9   Chemistry Department, College of Science, King Saud University, Riyadh, Saudi Arabia. 10   These authors contributed equally: Andrew H. Proppe, Andrew Johnston, Sam Teale. ✉ email: ted.sargent@utoronto.ca NATURE COMMUNICATIONS | (2021) 12:3472 | https://doi.org/10.1038/s41467-021-23616-9 | www.nature.com/naturecommunications 1 1234567890():,;","{""perovskite_composition"": null, ""electron_transport_layer"": ""tin dioxide"", ""hole_transport_layer"": ""Spiro-OMeTAD"", ""structure_pin_nip"": ""NIP""}","{""perovskite_composition"": ""(MAPbBr3)0.05(FAPbI3)0.95"", ""electron_transport_layer"": ""tin dioxide"", ""hole_transport_layer"": ""Spiro-OMeTAD"", ""structure_pin_nip"": ""NIP""}",26
5,5_25," Table 1 . 1 Rate constants of PL dynamics of perovskite samples determined by fits to the TRPL dynamics Sample k 1 (s À1 ) k 2 (cm 3 s À1 ) QFLS (eV) P m (cm 2 V À1 s À1 ) FA(MA)PbI 3 2.4 3 10 6 2.0 3 10 À9 1.189 22.1 G 9.6 FA(MA)PbI 3 /n-BAI 1.1 3 10 6 1.4 3 10 À9 1.201 24.6 G 5.9 FA(MA)PbI 3 /iso-BAI 1.3 3 10 6 2.1 3 10 À9 1.206 24.8 G 7.3 QFLS and sum of electron and hole mobility values obtained from absolute PL measurements and THz spectroscopy, respectively.","{""perovskite_composition"": ""FA(MA)PbI 3"", ""electron_transport_layer"": ""indium tin oxide"", ""hole_transport_layer"": ""Spiro-OMeTAD"", ""structure_pin_nip"": ""NIP"", ""test_1"": {""stability_type"": null, ""passivating_molecule"": null, ""humidity"": null, ""temperature"": null, ""time"": null, ""control_pce"": null, ""treated_pce"": ""22.1"", ""control_voc"": null, ""treated_voc"": ""1.135"", ""efficiency_cont"": null, ""efficiency_tret"": null}}","{""perovskite_composition"": ""FA(MA)PbI 3"", ""electron_transport_layer"": ""indium tin oxide"", ""hole_transport_layer"": ""Spiro-OMeTAD"", ""structure_pin_nip"": ""NIP"", ""test_1"": {""stability_type"": null, ""passivating_molecule"": null, ""humidity"": null, ""temperature"": null, ""time"": null, ""control_pce"": null, ""treated_pce"": ""22.1"", ""control_voc"": null, ""treated_voc"": ""1.135"", ""efficiency_cont"": null, ""efficiency_tret"": null}}",25
6,6_28,"			 J. Am. Chem. Soc. 2016, 138, 2649-2655","{""perovskite_composition"": ""MAPbI 3"", ""electron_transport_layer"": ""Titanium dioxide"", ""hole_transport_layer"": ""Spiro-OMeTAD"", ""structure_pin_nip"": null, ""test_1"": {""stability_type"": ""ISOSD"", ""passivating_molecule"": ""phenylethylammonium iodide"", ""humidity"": null, ""temperature"": null, ""time"": ""1344"", ""control_pce"": null, ""treated_pce"": ""18.89"", ""control_voc"": null, ""treated_voc"": ""1.16"", ""efficiency_cont"": null, ""efficiency_tret"": ""97""}}","{""perovskite_composition"": ""MAPbI 3"", ""electron_transport_layer"": ""Titanium dioxide"", ""hole_transport_layer"": ""Spiro-OMeTAD"", ""structure_pin_nip"": null, ""test_1"": {""stability_type"": ""ISOSD"", ""passivating_molecule"": ""phenylethylammonium iodide"", ""humidity"": null, ""temperature"": null, ""time"": ""1344"", ""control_pce"": null, ""treated_pce"": ""18.89"", ""control_voc"": null, ""treated_voc"": ""1.16"", ""efficiency_cont"": null, ""efficiency_tret"": ""97""}}",28
7,7_79,"			 https://dx.doi.org/10.1021/acs.chemrev.0c01006 Chem. Rev. 2021, 121, 2230-2291","{""perovskite_composition"": ""Cs0.05(MA)0.16(FA)0.79Pb(I0.83Br0.17 )3"", ""electron_transport_layer"": ""C60"", ""hole_transport_layer"": null, ""structure_pin_nip"": ""NIP"", ""test_1"": {""stability_type"": ""ISOSD1"", ""passivating_molecule"": ""4-tert-butyl-benzylammonium"", ""humidity"": ""85"", ""temperature"": null, ""time"": ""100"", ""control_pce"": null, ""treated_pce"": null, ""control_voc"": null, ""treated_voc"": null, ""efficiency_cont"": ""60"", ""efficiency_tret"": ""90""}, ""test_2_2"": {""stability_type"": ""ISOSL3"", ""passivating_molecule"": ""phenylethylammonium"", ""humidity"": ""50"", ""temperature"": ""90"", ""time"": ""100"", ""control_pce"": ""8.9"", ""treated_pce"": ""5.94"", ""control_voc"": null, ""treated_voc"": null, ""efficiency_cont"": ""0"", ""efficiency_tret"": ""95""}, ""test_2"": {""stability_type"": null, ""passivating_molecule"": ""(ethylenedioxy)bis(ethylammonium) lead iodide"", ""humidity"": ""65"", ""temperature"": null, ""time"": ""1000"", ""control_pce"": null, ""treated_pce"": ""21.06"", ""control_voc"": null, ""treated_voc"": null, ""efficiency_cont"": null, ""efficiency_tret"": ""90""}, ""test_3"": {""stability_type"": ""ISOST"", ""passivating_molecule"": ""dodecylammonium iodide"", ""humidity"": null, ""temperature"": ""65"", ""time"": ""100"", ""control_pce"": null, ""treated_pce"": null, ""control_voc"": ""1.09"", ""treated_voc"": ""1.13"", ""efficiency_cont"": ""40"", ""efficiency_tret"": ""80""}, ""test_3_2"": {""stability_type"": ""ISOST"", ""passivating_molecule"": null, ""humidity"": null, ""temperature"": ""60"", ""time"": ""100"", ""control_pce"": null, ""treated_pce"": null, ""control_voc"": ""1.05"", ""treated_voc"": ""1.11"", ""efficiency_cont"": null, ""efficiency_tret"": ""75""}, ""test_1_2"": {""stability_type"": ""ISOSD"", ""passivating_molecule"": ""4-tert-butyl-benzylammonium"", ""humidity"": ""60"", ""temperature"": null, ""time"": ""1300"", ""control_pce"": ""20.1"", ""treated_pce"": ""23.4"", ""control_voc"": null, ""treated_voc"": null, ""efficiency_cont"": null, ""efficiency_tret"": ""90""}}","{""perovskite_composition"": ""Cs0.05(MA)0.16(FA)0.79Pb(I0.83Br0.17 )3"", ""electron_transport_layer"": ""C60"", ""hole_transport_layer"": null, ""structure_pin_nip"": ""NIP"", ""test_1"": {""stability_type"": ""ISOSD1"", ""passivating_molecule"": ""4-tert-butyl-benzylammonium"", ""humidity"": ""85"", ""temperature"": null, ""time"": ""100"", ""control_pce"": null, ""treated_pce"": null, ""control_voc"": null, ""treated_voc"": null, ""efficiency_cont"": ""60"", ""efficiency_tret"": ""90""}, ""test_2_2"": {""stability_type"": ""ISOSL3"", ""passivating_molecule"": ""phenylethylammonium"", ""humidity"": ""50"", ""temperature"": ""90"", ""time"": ""100"", ""control_pce"": ""8.9"", ""treated_pce"": ""5.94"", ""control_voc"": null, ""treated_voc"": null, ""efficiency_cont"": ""0"", ""efficiency_tret"": ""95""}, ""test_2"": {""stability_type"": null, ""passivating_molecule"": ""(ethylenedioxy)bis(ethylammonium) lead iodide"", ""humidity"": ""65"", ""temperature"": null, ""time"": ""1000"", ""control_pce"": null, ""treated_pce"": ""21.06"", ""control_voc"": null, ""treated_voc"": null, ""efficiency_cont"": null, ""efficiency_tret"": ""90""}, ""test_3"": {""stability_type"": ""ISOST"", ""passivating_molecule"": ""dodecylammonium iodide"", ""humidity"": null, ""temperature"": ""65"", ""time"": ""100"", ""control_pce"": null, ""treated_pce"": null, ""control_voc"": ""1.09"", ""treated_voc"": ""1.13"", ""efficiency_cont"": ""40"", ""efficiency_tret"": ""80""}, ""test_3_2"": {""stability_type"": ""ISOST"", ""passivating_molecule"": null, ""humidity"": null, ""temperature"": ""60"", ""time"": ""100"", ""control_pce"": null, ""treated_pce"": null, ""control_voc"": ""1.05"", ""treated_voc"": ""1.11"", ""efficiency_cont"": null, ""efficiency_tret"": ""75""}, ""test_1_2"": {""stability_type"": ""ISOSD"", ""passivating_molecule"": ""4-tert-butyl-benzylammonium"", ""humidity"": ""60"", ""temperature"": null, ""time"": ""1300"", ""control_pce"": ""20.1"", ""treated_pce"": ""23.4"", ""control_voc"": null, ""treated_voc"": null, ""efficiency_cont"": null, ""efficiency_tret"": ""90""}}",79
8,8_56,"			 of 5 RESEARCH | REPORT Downloaded from https://www.science.org at University of California San Diego on November 07, 2024","{""perovskite_composition"": ""(FAPbI3)0.94(MAPbBr3)0.06"", ""electron_transport_layer"": ""Tin Oxide"", ""hole_transport_layer"": ""Spiro-OMeTAD"", ""structure_pin_nip"": ""NIP"", ""test_3"": {""stability_type"": null, ""passivating_molecule"": ""pyrene based methylammonium iodide"", ""humidity"": null, ""temperature"": null, ""time"": null, ""control_pce"": ""20.0"", ""treated_pce"": ""20.9"", ""control_voc"": ""1.160"", ""treated_voc"": ""1.167"", ""efficiency_cont"": null, ""efficiency_tret"": null}, ""test_2"": {""stability_type"": null, ""passivating_molecule"": ""pyrene based ammonium iodide"", ""humidity"": null, ""temperature"": null, ""time"": null, ""control_pce"": null, ""treated_pce"": ""19.5"", ""control_voc"": null, ""treated_voc"": ""1.066"", ""efficiency_cont"": null, ""efficiency_tret"": null}, ""test_1"": {""stability_type"": ""ISOSLT"", ""passivating_molecule"": ""pyrene based ethylammonium iodide"", ""humidity"": null, ""temperature"": ""40"", ""time"": ""2000"", ""control_pce"": ""19.3"", ""treated_pce"": ""22.4"", ""control_voc"": ""1.160"", ""treated_voc"": ""1.177"", ""efficiency_cont"": ""60"", ""efficiency_tret"": ""85""}}","{""perovskite_composition"": ""(FAPbI3)0.94(MAPbBr3)0.06"", ""electron_transport_layer"": ""Tin Oxide"", ""hole_transport_layer"": ""Spiro-OMeTAD"", ""structure_pin_nip"": ""NIP"", ""test_3"": {""stability_type"": null, ""passivating_molecule"": ""pyrene based methylammonium iodide"", ""humidity"": null, ""temperature"": null, ""time"": null, ""control_pce"": ""20.0"", ""treated_pce"": ""20.9"", ""control_voc"": ""1.160"", ""treated_voc"": ""1.167"", ""efficiency_cont"": null, ""efficiency_tret"": null}, ""test_2"": {""stability_type"": null, ""passivating_molecule"": ""pyrene based ammonium iodide"", ""humidity"": null, ""temperature"": null, ""time"": null, ""control_pce"": null, ""treated_pce"": ""19.5"", ""control_voc"": null, ""treated_voc"": ""1.066"", ""efficiency_cont"": null, ""efficiency_tret"": null}, ""test_1"": {""stability_type"": ""ISOSLT"", ""passivating_molecule"": ""pyrene based ethylammonium iodide"", ""humidity"": null, ""temperature"": ""40"", ""time"": ""2000"", ""control_pce"": ""19.3"", ""treated_pce"": ""22.4"", ""control_voc"": ""1.160"", ""treated_voc"": ""1.177"", ""efficiency_cont"": ""60"", ""efficiency_tret"": ""85""}}",56
9,9_25,"			 DOI: 10.1021/acsenergylett.6b00327 ACS Energy Lett. 2016, 1, 757-763","{""perovskite_composition"": ""MAPbI3"", ""electron_transport_layer"": ""PCBM"", ""hole_transport_layer"": null, ""structure_pin_nip"": null, ""test_1"": {""stability_type"": null, ""passivating_molecule"": ""1,8-diaminooctane diiodide"", ""humidity"": null, ""temperature"": null, ""time"": null, ""control_pce"": ""14.64"", ""treated_pce"": ""17.6"", ""control_voc"": null, ""treated_voc"": null, ""efficiency_cont"": null, ""efficiency_tret"": null}}","{""perovskite_composition"": ""MAPbI3"", ""electron_transport_layer"": ""PCBM"", ""hole_transport_layer"": null, ""structure_pin_nip"": null, ""test_1"": {""stability_type"": null, ""passivating_molecule"": ""1,8-diaminooctane diiodide"", ""humidity"": null, ""temperature"": null, ""time"": null, ""control_pce"": ""14.64"", ""treated_pce"": ""17.6"", ""control_voc"": null, ""treated_voc"": null, ""efficiency_cont"": null, ""efficiency_tret"": null}}",25
