id,paper_num,output
0_54,0,"{'perovskite_composition': 'Cs0.05FA0.85MA0.1PbI3', 'electron_transport_layer': 'C60', 'hole_transport_layer': '2PACz and Me-4PACz', 'structure_pin_nip': 'PIN', 'test_1': {'stability_type': 'ISOSL', 'passivating_molecule': '4-chlorobenzenesulfonate (4Cl-BZS)', 'humidity': None, 'temperature': 65.0, 'time': 1200.0, 'control_pce': 24.0, 'treated_pce': 26.9, 'control_voc': None, 'treated_voc': 1.18, 'efficiency_control': None, 'efficiency_tret': 95.0}}"
1_22,1,"{'perovskite_composition': None, 'electron_transport_layer': 'TinOxide', 'hole_transport_layer': 'PTAA', 'structure_pin_nip': 'PIN', 'test_1': {'stability_type': 'ISOST', 'passivating_molecule': 'phenethylammonium', 'humidity': None, 'temperature': 85.0, 'time': 500.0, 'control_pce': None, 'treated_pce': 19.1, 'control_voc': None, 'treated_voc': 1.16, 'efficiency_control': None, 'efficiency_tret': None}}"
2_75,2,"{'perovskite_composition': '(BA)2PbI 4', 'electron_transport_layer': 'tin dioxide', 'hole_transport_layer': 'Spiro-OMeTAD', 'structure_pin_nip': 'NIP', 'test_1': {'stability_type': 'ISOSL', 'passivating_molecule': None, 'humidity': 85.0, 'temperature': 25.0, 'time': 1620.0, 'control_pce': 22.3, 'treated_pce': 24.3, 'control_voc': None, 'treated_voc': 1.18, 'efficiency_control': None, 'efficiency_tret': 98.0, 'efficiency_cont': 58.6}, 'test_1_2': {'stability_type': 'ISOSD', 'passivating_molecule': None, 'humidity': 85.0, 'temperature': 85.0, 'time': 1056.0, 'control_pce': None, 'treated_pce': 21.3, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': 94.0}, 'test_2': {'stability_type': 'ISOSLT', 'passivating_molecule': None, 'humidity': None, 'temperature': 25.0, 'time': 1620.0, 'control_pce': None, 'treated_pce': 24.0, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': 98.0}}"
3_52,3,"{'perovskite_composition': 'Cs0.05(MA0.10FA0.85)Pb(I0.90Br0.10)3', 'electron_transport_layer': 'tin dioxide', 'hole_transport_layer': 'Spiro-OMeTAD', 'structure_pin_nip': 'NIP', 'test_1': {'stability_type': 'ISOSL1', 'passivating_molecule': None, 'humidity': None, 'temperature': None, 'time': 2000.0, 'control_pce': None, 'treated_pce': 24.5, 'control_voc': None, 'treated_voc': 1.2, 'efficiency_control': None, 'efficiency_tret': 99.0, 'efficiency_cont': 25.0}}"
4_26,4,"{'perovskite_composition': '(MAPbBr3)0.05(FAPbI3)0.95', 'electron_transport_layer': 'tin dioxide', 'hole_transport_layer': 'Spiro-OMeTAD', 'structure_pin_nip': 'NIP'}"
5_25,5,"{'perovskite_composition': 'BA2PbI 4', 'electron_transport_layer': 'C60', 'hole_transport_layer': 'Spiro-OMeTAD', 'structure_pin_nip': 'NIP', 'test_1': {'stability_type': None, 'passivating_molecule': 'iso-butylamine iodide', 'humidity': None, 'temperature': None, 'time': None, 'control_pce': None, 'treated_pce': 22.1, 'control_voc': None, 'treated_voc': 1.13, 'efficiency_control': None, 'efficiency_tret': None}}"
6_28,6,"{'perovskite_composition': 'MAPbI 3', 'electron_transport_layer': 'Titanium dioxide', 'hole_transport_layer': 'Spiro-OMeTAD', 'structure_pin_nip': None, 'test_1': {'stability_type': 'ISOSD', 'passivating_molecule': 'phenylethylammonium iodide', 'humidity': None, 'temperature': None, 'time': 1344.0, 'control_pce': None, 'treated_pce': 18.8, 'control_voc': None, 'treated_voc': 1.16, 'efficiency_control': None, 'efficiency_tret': 97.0}}"
7_79,7,"{'perovskite_composition': 'CsPbBr 3', 'electron_transport_layer': 'C60', 'hole_transport_layer': None, 'structure_pin_nip': 'NIP', 'test_1': {'stability_type': None, 'passivating_molecule': '(ethylenedioxy)bis(ethylammonium)', 'humidity': 65.0, 'temperature': None, 'time': 1000.0, 'control_pce': None, 'treated_pce': None, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': 90.0}}"
8_56,8,"{'perovskite_composition': None, 'electron_transport_layer': 'Tin Oxide', 'hole_transport_layer': 'Spiro-OMeTAD', 'structure_pin_nip': 'NIP', 'test_1': {'stability_type': 'ISOSLT', 'passivating_molecule': 'ethylammonium pyrene', 'humidity': None, 'temperature': 40.0, 'time': 2000.0, 'control_pce': 19.3, 'treated_pce': 22.4, 'control_voc': None, 'treated_voc': 1.17, 'efficiency_control': None, 'efficiency_tret': 0.85, 'efficiency_cont': 0.6}}"
9_25,9,"{'perovskite_composition': 'MAPbI3', 'electron_transport_layer': 'PCBM', 'hole_transport_layer': None, 'structure_pin_nip': None, 'test_1': {'stability_type': None, 'passivating_molecule': 'EDBE', 'humidity': None, 'temperature': None, 'time': None, 'control_pce': 14.6, 'treated_pce': 17.6, 'control_voc': None, 'treated_voc': None, 'efficiency_control': None, 'efficiency_tret': None}}"
