,perovskite_composition,passivating_molecule
0,FA0.83Cs0.17Pb0.5Sn0.5I3,"2,2',6,6'-bis(4-methoxy-2,4,6-trimethylphenyl)-1,3,5-triazine"
1,Cs0.05FA0.95PbI3,PEA2ZnX4
2,CH3NH3PbI3,phenylethylammonium iodide
3,FA0.98Cs0.02PbI3,"m-TiO2, QD-SnO2, and paa-QD-SnO2"
4,formamidinium lead iodide,"hexafluorodifluoropropane-1,3-disulfonimide (HFDF)"
5,MA0.7FA0.3PbI3,cyclohexylmethylammonium iodide
6,formamidinium lead triiodide (FAPbI3),(BA)2PbI4
7,Cs0.05(MA0.10FA0.85)Pb(I0.90Br0.10)3,DTB(3%DEG)
8,(FAPbI3)0.77 (MAPbBr3)0.14 (CsPbI3)0.09,2-(9H-carbazol-9-yl)ethyl phosphonic acid
9,(FAPbI3)0.97(MAPbBr3)0.03,AZO/SnOx
10,Cs0.05FA0.9MA0.05Pb(I0.95Br0.05)3,cyclohexylmethylammonium iodide
11,FAPbI3 with 35 mol% MACl and 3.8 mol% MDC,4-trifluoromethyl-phenylammonium
12,FA0.83Cs0.17Pb(I0.83Br0.17)3 with 1% PbI2 excess,n-hexylammonium bromide and n-octylammonium bromide
13,(FAPbI3)0.95(MAPbBr3)0.05,isopropylammonium chloride
14,Cs0.05(FA0.05MA0.95)0.95 Pb0.05(I0.95Br0.05)0.05,PEA2ZnX4
15,Cs0.05(FA0.92MA0.08)0.95Pb(I0.92Br0.08)3,4-vinylbenzylammonium bromide
16,FA0.8Cs0.2Pb(I0.7Br0.3)3,piperazinium iodide
17,Cs0.05(MA0.1FA0.85PbI3)3,CB-NH2
18,FAPbI3,CF3PEAI2D
19,3D/CLP/2D perovskite heterostructure,formamidinium
20,FAMAPbI3 and MAPbI3 layers (two-step method),phenylethylammonium iodide
21,FA0.95MA0.05Pb(I0.92Br0.08)3,cross-linked polymer (CLP)
22,FA0.85Cs0.15PbI2.85I3,NH4Cl
23,MAPbI3,sulfonyl fluoride-functionalized phenethylammonium salt
24,FA0.83Cs0.17PbI3,"hexafluorodifluoropropane-1,3-disulfonimide (HFDF)"
25,Cs0.05(FA0.95MA0.05)0.95Pb(I0.95Br0.05)0.05I3,"b-poly(1,1-difluoroethylene) (b-pV2F)"
26,formamidinium lead triiodide (FAPbI3),(PbI2)2RbCl
27,FA0.83MA0.17PbI3,hexafluorobenzene
28,FA1-xMAxPbI3Br0.13,hexyltrimethylammonium bromide
29,FA0.95MA0.05Pb(I0.92Br0.08)3,formamidinium lead iodide (FAPbI3)
30,Cs0.05(MA0.1FA0.85PbI3)3,allylammonium (ALA)
31,Cs0.05FA0.95PbI3,(BA)2PbI4
32,formamidinium lead triiodide (FAPbI3),pentanamidine hydrochloride
33,FA1-xMAxPbI3Br0.13,LiF
34,[(FAPbI3)0.87(MAPbBr3)0.13]0.92(CSPbI3)0.08,"benzylamine hydroiodide (BAHI), poly[bis(4-phenyl)(2,5-trimethylphenyl)amine] (PTAA), and 4-tert-butylpyridine (tBP)"
35,Cs0.05FA0.9MA0.05PbI2.74Br0.26,oxalic acid
36,Cs0.05(FA0.95MA0.05)0.05(PbI2.55Br0.45)0.55(I0.5Cl0.5)0.5,"3-(methylamine-5-pentanoate)thiophene-2,5-diy"
37,Cs0.05(MA0.17FA0.83)0.95Pb(I0.83Br0.17)3,4-tert-butyl-benzylammonium iodide
38,Cs0.05(MA0.10FA0.85)Pb(I0.90Br0.10)3,4-(Trifluoromethyl) phenethylammonium (CF3-PEA)
39,2D lead halide perovskites with different layer numbers (n = 10 to 1) and different halide compositions (Br and I),sodium thioglycolate
40,formamidinium lead iodide,AZO/SnOx
41,formamidinium lead iodide (FAI) based compound,poly(4-vinylpyridine)
42,(FAI)0.81(PbI2)0.85(MAPbBr3)0.15,ortho-(phenylene)di(ethylammonium) iodide
43,[(FAPbI3)0.87(MAPbBr3)0.13]0.92(CSPbI3)0.08,benzylhydrazine (BHC)
44,3D/CLP/2D perovskite heterostructure,ZrL3
45,FA1-x MAx PbI3 (FA: HC(NH2)2; MA: CH3NH3),octylammonium iodide
46,CsFAMAPbI3,formamidinium
47,CsPbI3-0.05-(FAPbI3)0.83-(MAPbBr3)0.17,NH4Cl
48,FA0.85MA0.1Cs0.05PbI2.9Br0.1,formamidinium formate
49,FAPbI3:0.95MAPbBr3:0.05,phenethylammonium iodide
50,PEA2(CH3NH3)2Pb2I7,"3-(methylamine-5-pentanoate)thiophene-2,5-diy"
51,[(FAPbI3)0.87(MAPbBr3)0.13]0.92(CSPbI3)0.08,isopropylammonium chloride
52,2D lead halide perovskites with different layer numbers (n = 10 to 1) and different halide compositions (Br and I),2CF3-phenethylammonium iodide
53,Cs0.05(MA0.1FA0.85)PbI3,formamidinium formate
54,Cs0.05 FA0.8 MA0.15 PbI2.88 Br0.04 Cl0.08,2-(9H-carbazol-9-yl)ethyl phosphonic acid
55,phase-pure quantum wells,NaF
56,Cs0.05(FA0.83MA0.17)0.95Pb(I0.83Br0.17)3,octylammonium iodide
57,FAPbI3:0.95MAPbBr3:0.05,cyclohexylmethylammonium iodide
58,FA1-xMAxPbI3Br0.13,n-hexyl trimethyl ammonium bromide
59,Cs0.05FA0.95PbI3,(PbI2)2RbCl
60,Cs0.05(FA0.92MA0.08)0.95Pb(I0.92Br0.08)3,phenylethylammonium iodide
61,Cs0.15FA0.85PbI2.55Br0.45,cross-linked polymer (CLP)
62,[(FAPbI3)0.87(MAPbBr3)0.13]0.92(CSPbI3)0.08,Choline chloride
63,Cs0.05FA0.95PbI3,pentanamidine hydrochloride
64,Cs0.05(FA0.95MA0.05)0.95Pb(I0.95Br0.05)0.05I3,CF3PEAI
65,Cs0.05 FA0.85 MA0.10 Pb(I0.97 Br0.03)3 with 5% excess of PbI2,cross-linked polymer (CLP)
66,CsPbI3-xBrx,"hexafluorodifluoropropane-1,3-disulfonimide (HFDF)"
67,Cs0.05(FA0.05MA0.95)0.95 Pb0.05(I0.95Br0.05)0.05,(PbI2)2RbCl
68,Cs0.05(MA0.1FA0.85PbI3)3,4-vinylbenzylammonium bromide
69,Cs0.05MA0.05FA0.9Pb(I0.95Br0.05)3,"PEAI, Cl-PEAI, F-PEAI"
70,3D/CLP/2D perovskite heterostructure,EDAI2
71,Cs0.05FA0.81MA0.14PbI2.55Br0.45,hexyltrimethylammonium bromide
72,FA0.85MA0.15PbI3,4-tert-butyl-1-methylpyridinium bis(trifluoromethylsulfonyl)imide
73,FAMAPbI3 and MAPbI3 layers (two-step method),2CF3-phenethylammonium iodide
74,Cs0.05(FA0.83MA0.17)0.95Pb(I0.83Br0.17)3,Spiro-mF
75,FA0.83Cs0.17Pb(I0.83Br0.17)3 with 1% PbI2 excess,formamidinium
76,Cs0.1FA0.9PbI2.55Br0.45,phenylethylammonium iodide
77,Cs0.05 FA0.85 MA0.10 Pb(I0.97 Br0.03)3 with 5% excess of PbI2,formamidinium lead iodide (FAPbI3)
78,Cs0.15FA0.85MA0.1PbI2.55Br0.45,4-chlorophenylethylammonium iodide
79,Cs0.05FA0.54MA0.41Pb(I0.98Br0.02)3,Oleylammonium iodide
80,Cs0.05FA0.81MA0.14PbI2.55Br0.45,LiF
81,Cs0.05(MA0.17FA0.83)0.95Pb(I0.83Br0.17)3,oxalic acid
82,Cs0.05 FA0.85 MA0.15 PbI2.55 Br0.45,methylammonium chloride
83,MAPbI3,n-butylammonium bromide (BABr)
84,Cs0.2FA0.8Pb(I0.6Br0.4)3,none
85,FA(MA)PbI3,butylamine
86,(FAPbI3)0.95(MAPbBr3)0.05,NaF
87,FA0.83Cs0.17Pb0.5Sn0.5I3,PEA2ZnX4
88,FA0.95MA0.05Pb(I0.92Br0.08)3,4-guanidinobenzoic acid hydrochloride (GBAC)
89,Cs0.17FA0.83Pb(I0.6Br0.4)3,phenethylammonium iodide (PEAI)
90,(FAPbI3)0.97(MAPbBr3)0.03,sodium thioglycolate
91,MA0.07FA0.93PbI3,allylammonium
92,FA(MA)PbI3,poly(4-vinylpyridine)
93,FA0.85MA0.1Cs0.05PbI2.9Br0.1,"benzylamine hydroiodide (BAHI), poly[bis(4-phenyl)(2,5-trimethylphenyl)amine] (PTAA), and 4-tert-butylpyridine (tBP)"
94,Cs0.05FA0.9MA0.05PbI2.74Br0.26,"m-TiO2, QD-SnO2, and paa-QD-SnO2"
95,FA1-x MAx PbI3 (FA: HC(NH2)2; MA: CH3NH3),FA0.83Cs0.17Pb0.5Sn0.5I3
96,FA0.15MA0.85PbI3,formamidinium formate
97,Cs0.05(MA0.05FA0.95)0.95Pb(I0.85Br0.15)3,"2,2',6,6'-bis(4-methoxy-2,4,6-trimethylphenyl)-1,3,5-triazine"
98,Cs0.05(MA0.1FA0.85)PbI3,"benzylamine hydroiodide (BAHI), poly[bis(4-phenyl)(2,5-trimethylphenyl)amine] (PTAA), and 4-tert-butylpyridine (tBP)"
99,FA0.85MA0.15PbI3,Cl-cPP and Cl-bSO
100,(FAPbI3)0.97(MAPbBr3)0.03,2CF3-phenethylammonium iodide
101,FA0.85MA0.1Cs0.05PbI2.9Br0.1,benzylhydrazine (BHC)
102,Cs0.05(FA0.83MA0.17)0.95Pb(I0.83Br0.17)3,CsMAFA-8
103,Cs0.2FA0.8Pb(I0.6Br0.4)3,n-hexylammonium bromide and n-octylammonium bromide
104,3D/CLP/2D perovskite heterostructure,Cs2PbI2Cl2
105,Cs0.05(MA0.1FA0.85)PbI3,benzylhydrazine (BHC)
106,FA0.85MA0.1Cs0.05PbI2.9Br0.1,isopropylammonium chloride
107,Cs0.05(FA0.95MA0.05)0.05(PbI2.55Br0.45)0.55(I0.5Cl0.5)0.5,butylamine
108,Cs0.05(FA0.05MA0.95)0.95Pb(I0.95Br0.05)3,ortho-(phenylene)di(ethylammonium) iodide
109,3D perovskite (MAPbI3) and 2D/3D heterostructure (with BAV-induced 2D layers),cyclohexylmethylammonium iodide
110,(FAPbI3)0.95(MAPbBr3)0.05,4-tert-butyl-1-methylpyridinium bis(trifluoromethylsulfonyl)imide
111,Cs0.05(FA0.95MA0.05)0.95Pb(I0.95Br0.05)3,azetidinium iodide
112,formamidinium lead triiodide (FAPbI3),none
113,FAPbI3 with 35 mol% MACl and 3.8 mol% MDC,"Polystyrene (PS), Teflon, and poly(vinylidene-trifluoroethylene) (PVDF-TrFE)"
114,Cs0.05(FAPbI3)0.85(MAPbBr3)0.15,lead sulfate
115,Cs0.15FA0.85PbI2.55Br0.45,TiOxNy
116,Cs0.05 FA0.8 MA0.15 PbI2.88 Br0.04 Cl0.08,ortho-(phenylene)di(ethylammonium) iodide
117,FA0.85MA0.1Cs0.05PbI2.9Br0.1,Choline chloride
118,PEA2(CH3NH3)2Pb2I7,butylamine
119,3D/0D perovskite,EDTA
120,Cs0.1FA0.9PbI2.55Br0.45,sodium thioglycolate
121,FA0.83Cs0.17PbI3,Oleylammonium iodide
122,Cs0.05 FA0.85 MA0.15 PbI2.55 Br0.45,none
123,Cs0.05(MA0.1FA0.85)PbI3,Choline chloride
124,Cs0.05(FAPbI3)0.85(MAPbBr3)0.15,2-TMAI
125,MAPbI3,methylammonium chloride
126,Cs0.05 FA0.85 MA0.10 Pb(I0.97 Br0.03)3 with 5% excess of PbI2,4-guanidinobenzoic acid hydrochloride (GBAC)
127,3D/CLP/2D perovskite heterostructure,4-tert-butyl-benzylammonium iodide
128,FA1-x MAx PbI3 (FA: HC(NH2)2; MA: CH3NH3),n-butylamine acetate
129,formamidinium lead iodide (FAI) based compound,"2,2',2',2'-tetrakis(4-ethylammonium) 1,3,5-triazine"
130,CsFAMAPbI3,Cs2PbI2Cl2
131,Cs0.1FA0.9PbI2.55Br0.45,2CF3-phenethylammonium iodide
132,(FAPbI3)0.95(MAPbBr3)0.05,Cl-cPP and Cl-bSO
133,formamidinium lead triiodide (FAPbI3),n-hexylammonium bromide and n-octylammonium bromide
134,FA0.15MA0.85PbI3,"benzylamine hydroiodide (BAHI), poly[bis(4-phenyl)(2,5-trimethylphenyl)amine] (PTAA), and 4-tert-butylpyridine (tBP)"
135,FA0.95Cs0.05PbI3,lead sulfate
136,Cs0.05(FA0.05MA0.95)0.95Pb(I0.9Br0.1)3,formamidine acetate
