Unnamed: 0,perovskite_composition,electron_transport_layer,pin_nip_structure,hole_transport_layer,passivating_molecule,control_pce,control_voc,treated_pce,treated_voc,test_1,test_2,structure_pin_nip,treated_jsc,treated_ff,test_3,test_4,test_5,test_6,test_7,test_8,test_9,test_10,control_jsc,control_ff,control_pec,treated_eqe,treated_stabilized_pce,control_fill_factor,treated_fill_factor,controljsc,treatedjsc,treated_hysteresis_index,binding_energy,fill_factor,treated_iscc,IUPAC_passivator,passivator_smiles
0,MAPbI3,PEDOT:PSS,NIP,PCBM,DAAB,4.5,0.87,12.6,0.92,"{'test_name': 'ISOS-L', 'temperature': 30, 'time': 1000, 'humidity': 70, 'retained_percentage_cont': 90, 'retained_percentage_tret': 68}","{'test_name': 'ISOS-L', 'temperature': 30, 'time': 1000, 'humidity': 70, 'retained_percentage_cont': 90, 'retained_percentage_tret': 50}",,,,,,,,,,,,,,,,,,,,,,,,,diammonium azobenzene,N(=NC1=CC=CC=C1)C1=CC=CC=C1.[NH4+].[NH4+]
3,Cs 0.05 FA 0.9 MA 0.05 PbI 3,,,,Cyanoguanidine diiodide,20.44,1077.0,23.04,1119.0,"{'test_name': 'ISOS-D', 'temperature': None, 'time': 60, 'humidity': None, 'retained_percentage_cont': 77, 'retained_percentage_tret': 83}",,,,,,,,,,,,,,,,,,,,,,,,,,Cyanoguanidine diiodide,[I-].[I-].C(#N)NC(=N)N
6,FA0.83Cs0.17PbI0.6Br0.4,PTAA,PIN,PFN-Br,[BMP][BF4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-Butyl-3-methylimidazolium tetrafluoroborate,F[B-](F)(F)F.C(CCC)N1C=[N+](C=C1)C
7,,,,,Thioacetamide (TAA),,,17.86,0.971,,,,,,,,,,,,,,,,,,,,,,,,,,,Thioacetamide,C(C)(=S)N
18,,,,,2-Mercaptopyrimidine,,,21.7,1.12,"{'test_name': 'stability', 'temperature': None, 'time': 97, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': 90.0}",,,,,,,,,,,,,,,,,,,,,,,,,,2-Mercaptopyrimidine,SC1=NC=CC=N1
20,,,,,Imidazole,,,20.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,Imidazole,N1C=NC=C1
23,FA 0.6 MA 0.4 PbI2.7 Cl0.3,SnO2,NIP,Spiro-OMeTAD,4-chlorobenzylammonium chloride (75%) and 4-chlorobenzylammonium bromide (25%),18.31,1.06,21.0,1.12,"{'test_name': 'ISOS-L', 'temperature': None, 'time': 672, 'humidity': None, 'retained_percentage_cont': 78, 'retained_percentage_tret': 88}",,,,,,,,,,,,,,,,,,,,,,,,,,4-chlorobenzylammonium chloride,[Cl-].ClC1=CC=C(C[NH3+])C=C1
24,CsPbI3,,,,HI,2.9,,1.7000000000000002,,"{'test_name': None, 'temperature': None, 'time': None, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,Hydroiodic acid,I
27,,,,,S-benzyl-L-cysteine,,,,,"{'test_name': 'ISOS-L', 'temperature': 200, 'time': 24, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,,C(C1=CC=CC=C1)SC[C@H](N)C(=O)O
30,,,,,Urea,25.7,,30.0,,"{'test_name': 'Environmental stress test', 'temperature': 800, 'time': 800, 'humidity': None, 'retained_percentage_cont': 100, 'retained_percentage_tret': 100}",,,,,,,,,,,,,,,,,,,,,,,,,,Urea,NC(=O)N
31,MAPbI3,,,,Oxygen (O2),,,19.4,1161.0,"{'test_name': 'Moisture and Oxygen Exposure', 'temperature': 45, 'time': 60, 'humidity': 45, 'retained_percentage_cont': 100, 'retained_percentage_tret': 100}",,,,,,,,,,,,,,,,,,,,,,,,,,Oxygen,[O]
34,MAPbI3,SnO2,NIP,Spiro-OMeTAD,4-fluorobenzamine trifluoroacetate,19.19,1.09,21.01,1.13,"{'test_name': 'ISOS-T', 'temperature': 45, 'time': 500, 'humidity': '45%', 'retained_percentage_cont': 48.0, 'retained_percentage_tret': 80.5}",,,,,,,,,,,,,,,,,,,,,,,,,,4-fluorobenzenamine trifluoroacetate,FC(C(=O)O)(F)F.FC1=CC=C(C=C1)N
36,,,,,Oleylammonium chloride (OAmCl),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oleylammonium chloride,[Cl-].C(CCCCCCC\C=C/CCCCCCCC)[NH3+]
39,CsPbBr3,SnO2,PIN,Carbon paste,2-thiopheneacetic acid (TPA),9.08,1.558,11.23,1.6720000000000002,"{'test_name': 'Operational stability tracked', 'temperature': 85, 'time': 50, 'humidity': 0, 'retained_percentage_cont': 80, 'retained_percentage_tret': 87}","{'test_name': 'Moisture resistance', 'temperature': 85, 'time': 50, 'humidity': 85, 'retained_percentage_cont': 79, 'retained_percentage_tret': 89}",,,,"{'test_name': 'Thermal stability', 'temperature': 85, 'time': 120, 'humidity': 0, 'retained_percentage_cont': 15, 'retained_percentage_tret': 120}",,,,,,,,,,,,,,,,,,,,,2-thiopheneacetic acid,S1C(=CC=C1)CC(=O)O
42,,,,,Phenethylammonium iodide (PEAI),15.0,0.942,19.3,1.14,"{'test_name': 'MPPT', 'temperature': 40, 'time': 900, 'humidity': None, 'retained_percentage_cont': 30, 'retained_percentage_tret': 90}","{'test_name': 'Thermal', 'temperature': 65, 'time': 700, 'humidity': None, 'retained_percentage_cont': 50, 'retained_percentage_tret': 90}",,,,,,,,,,,,,,,,,,,,,,,,,phenethylammonium iodide,[I-].C(CC1=CC=CC=C1)[NH3+]
50,,,,,bis(trifluoromethane)sulfonimide (TFSI),17.3,,17.7,,"{'test_name': 'ISOS-L-1', 'temperature': 25, 'time': 18, 'humidity': None, 'retained_percentage_cont': 80, 'retained_percentage_tret': 80}",,,,,,,,,,,,,,,,,,,,,,,,,,bis(trifluoromethane)sulfonimide,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F
51,Cs0.05(FA0.83MA0.17)0.95Pb(I0.83Br0.17)3,SnO2,PIN,Spiro-OMeTAD,Tetramethylguanidine hydrochloride (TMGHCL),20.12,1.05,22.0,1.12,"{'test_name': 'ISOS-LT', 'temperature': 25, 'time': 16, 'humidity': 35, 'retained_percentage_cont': None, 'retained_percentage_tret': 93.29}",,,,,,,,,,,,,,,,,,,,,,,,,,Tetramethylguanidine hydrochloride,Cl.CN(C(N(C)C)=N)C
53,CsPbBr3,,,,MnCl2,,,,,"{'stability_type': 'Stability test', 'temperature': None, 'time': 24, 'humidity': None, 'retained_proportion_cont': 70.0, 'retained_proportion_tret': 65.0}",,,,,,,,,,,,,,,,,,,,,,,,,,Manganese(II) chloride,[Cl-].[Mn+2].[Cl-]
55,FAPbI3,,,,Methylammonium chloride,,,,,"{'test_name': None, 'temperature': None, 'time': 150000, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': 50}",,,,,,,,,,,,,,,,,,,,,,,,,,Methylammonium chloride,[Cl-].C[NH3+]
61,,,,,Tryptophan,,,,,"{'test_name': 'ISOS-L', 'temperature': None, 'time': 23, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,L-tryptophan,N[C@@H](CC1=CNC2=CC=CC=C12)C(=O)O
67,MAPbI3,,,,sodium dodecyl sulfate (SDS),18.1,0.905,20.7,0.955,"{'test_name': 'Humidity stability test', 'temperature': 30, 'time': 600, 'humidity': '30-40%', 'retained_percentage_cont': 80, 'retained_percentage_tret': 97.1}",,,,,,,,,,,,,,,,,,,,,,,,,,sodium dodecyl sulfate,S(=O)(=O)(OCCCCCCCCCCCC)[O-].[Na+]
68,MAPbI3,PCBM,PIN,NiOx,cetyl pyridinium bromide (CPB),18.27,1.09,20.53,1.12,"{'test_name': 'stability', 'temperature': '30 days', 'time': '30 days', 'humidity': '80 %', 'retained_percentage_cont': 46, 'retained_percentage_tret': 68}",,,,,,,,,,,,,,,,,,,,,,,,,,Cetylpyridinium bromide,[Br-].C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1
74,FA 0.8 Cs 0.2 Pb(I 0.8 Br 0.2) 3,Me-4PACz,PIN,PCBM,1-methyl-2-thio-1H-imidazole-5-carboxylate (SMC),19.81,1.176,23.45,1.275,"{'test_name': 'ISOS-LC', 'temperature': 50, 'time': 600, 'humidity': None, 'retained_percentage_cont': 94, 'retained_percentage_tret': 94}",,,,,,,,,,,,,,,,,,,,,,,,,,1-methyl-2-sulfanyl-1H-imidazole-5-carboxylate,CN1C(=NC=C1C(=O)[O-])S
77,ASnI2Br,C60,NIP,PEDOT:PSS,PhSiH3,3.65,0.52,5.5,0.64,"{'test_name': None, 'temperature': None, 'time': None, 'humidity': None, 'retained_percentage_cont': 100, 'retained_percentage_tret': 100}",,,,,,,,,,,,,,,,,,,,,,,,,,phenylsilane,C1(=CC=CC=C1)[SiH3]
81,,,,PTAA,2-thenoylacetonitrile (2-T-OACN),19.4,,23.3,,"{'test_name': 'Stability test', 'temperature': None, 'time': None, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,2-Thiophenoylacetonitrile,S1C(=CC=C1)C(=O)CC#N
83,AgBiS2,ZnO,NIP,P3HT,TMABr,,,2.43,0.41,"{'test_name': 'TPV', 'temperature': None, 'time': None, 'humidity': None, 'retained_percentage_cont': 75, 'retained_percentage_tret': 80}","{'test_name': 'TPJ', 'temperature': None, 'time': None, 'humidity': None, 'retained_percentage_cont': 70, 'retained_percentage_tret': 85}",,,,"{'test_name': 'Impedance Spectroscopy', 'temperature': None, 'time': None, 'humidity': None, 'retained_percentage_cont': 65, 'retained_percentage_tret': 75}",,,,,,,,,,,,,,,,,,,,,Tetramethylammonium bromide,[Br-].C[N+](C)(C)C
92,FAPbBr3,,,,Phosphoethanolamine (PEA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-aminoethyl dihydrogen phosphate,P(=O)(OCCN)(O)O
96,,,,,SnI2,,,6.75,,"{'test_name': 'ISOS-L', 'temperature': None, 'time': None, 'humidity': None, 'retained_percentage_cont': 100, 'retained_percentage_tret': 100}",,,,,,,,,,,,,,,,,,,,,,,,,,Tin(II) iodide,[Sn](I)I
97,,,,,formamidinium iodide (FAI),13.59,,15.1,,"{'test_name': 'ISOS-D', 'temperature': 25, 'time': 1176, 'humidity': '30-35%', 'retained_percentage_cont': 87, 'retained_percentage_tret': 93}","{'test_name': 'ISOS-D-2', 'temperature': 85, 'time': 60, 'humidity': None, 'retained_percentage_cont': 23, 'retained_percentage_tret': 53}",,,,"{'test_name': 'UV', 'temperature': 365, 'time': 70, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': 80}",,,,,,,,,,,,,,,,,,,,,Formamidinium iodide,[I-].C(=[NH2+])N
