Unnamed: 0,perovskite_composition,electron_transport_layer,pin_nip_structure,hole_transport_layer,passivating_molecule,control_pce,control_voc,treated_pce,treated_voc,test_1,test_2,structure_pin_nip,treated_jsc,treated_ff,test_3,test_4,test_5,test_6,test_7,test_8,test_9,test_10,control_jsc,control_ff,control_pec,treated_eqe,treated_stabilized_pce,control_fill_factor,treated_fill_factor,controljsc,treatedjsc,treated_hysteresis_index,binding_energy,fill_factor,treated_iscc,IUPAC_passivator
0,MAPbI3,PEDOT:PSS,NIP,PCBM,DAAB,4.5,0.87,12.6,0.92,"{'test_name': 'ISOS-L', 'temperature': 30, 'time': 1000, 'humidity': 70, 'retained_percentage_cont': 90, 'retained_percentage_tret': 68}","{'test_name': 'ISOS-L', 'temperature': 30, 'time': 1000, 'humidity': 70, 'retained_percentage_cont': 90, 'retained_percentage_tret': 50}",,,,,,,,,,,,,,,,,,,,,,,,,diammonium azobenzene
1,,,,,formamidine sulfinic acid (FSA),,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Cs 0.05 FA 0.9 MA 0.05 PbI 3,,,,Cyanoguanidine diiodide,20.44,1077.0,23.04,1119.0,"{'test_name': 'ISOS-D', 'temperature': None, 'time': 60, 'humidity': None, 'retained_percentage_cont': 77, 'retained_percentage_tret': 83}",,,,,,,,,,,,,,,,,,,,,,,,,,Cyanoguanidine diiodide
4,Cs 0.17 FA 0.83 Pb(I 0.9 Br 0.1 ) 3 (WBg),TiO2,,Spiro-OMeTAD,tBBAI,14.91,1.07,23.5,1.14,"{'stability_type': 'ISOS-L-1', 'temperature': 25, 'time': 305, 'humidity': None, 'retained_proportion_cont': 100.0, 'retained_proportion_tret': 100.0}","{'stability_type': 'ISOS-T-1', 'temperature': 85, 'time': 8658, 'humidity': None, 'retained_proportion_cont': 100.0, 'retained_proportion_tret': 100.0}",PIN,,,,,,,,,,,,,,,,,,,,,,,,
5,FAPbI3 0.85 (-MAPbBr3) 0.15,Spiro-OMeTAD,NIP,,7-amino-4-trifluoromethylcoumarin (C151),20.44,1.09,22.46,1.14,"{'test_name': 'aging', 'temperature': 20, 'time': 1000, 'humidity': '30-40%', 'retained_percentage_cont': None, 'retained_percentage_tret': 91}","{'test_name': 'high humidity', 'temperature': None, 'time': 150, 'humidity': '95%', 'retained_percentage_cont': 30, 'retained_percentage_tret': 70}",,25.25,78.31,"{'test_name': 'UV radiation', 'temperature': 25, 'time': 240, 'humidity': '30-40%', 'retained_percentage_cont': 41, 'retained_percentage_tret': 91}","{'test_name': 'heating', 'temperature': 85, 'time': None, 'humidity': '30-40%', 'retained_percentage_cont': None, 'retained_percentage_tret': 91}",,,,,,,,,,,,,,,,,,,,
6,FA0.83Cs0.17PbI0.6Br0.4,PTAA,PIN,PFN-Br,[BMP][BF4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-Butyl-3-methylimidazolium tetrafluoroborate
7,,,,,Thioacetamide (TAA),,,17.86,0.971,,,,,,,,,,,,,,,,,,,,,,,,,,,Thioacetamide
8,,,,,ICBA,22.4,1.15,25.1,1.19,"{'test_name': None, 'temperature': 40, 'time': 1000, 'humidity': None, 'retained_percentage_cont': 98, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,
9,FAPbI3,SnO2,NIP,Spiro-MeOTAD,MASCN and FASCN,25.2,1.255,22.4,1.19,"{'test_name': 'Thermal stability', 'temperature': 85, 'time': 500, 'humidity': 'Inert N2 environment', 'retained_percentage_cont': 97.8, 'retained_percentage_tret': 90}",,,,,,,,,,,,,,,,,,,,,,,,,,
10,MAPbI3,NiO_x,PIN,2PACz,DPDC,18.64,1097.7,21.37,1113.3,"{'test_name': 'Stability test', 'temperature': 60, 'time': 300, 'humidity': 60, 'retained_percentage_cont': 20, 'retained_percentage_tret': 80}",,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,Chen et al. introduced Rb2CO3 layer at the SnO2/perovskite interface,,,21.1,1.17,"{'test_name': None, 'temperature': None, 'time': None, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,N-Ti 3 C 2,5.94,1.117,8.91,1.28,"{'test_name': 'ambient stability', 'temperature': 30, 'time': 30, 'humidity': None, 'retained_percentage_cont': 84.9, 'retained_percentage_tret': 86.3}",,,,,,,,,,,,,,,,,,,,,,,,,,
14,FAPbI3,paa-QD-SnO2,n-i-p,spiro-OMeTAD,PAA,,,25.7,1.177,"{'test_name': 'Stability test', 'temperature': 25, 'time': 1000, 'humidity': 25, 'retained_percentage_cont': 80, 'retained_percentage_tret': 80}",,,,,,,,,,,,,,,,,,,,,,,,,,poly(acrylic acid)
15,,,,,MeO-2PACz,,,,,"{'test_name': 'MPP tracking test', 'temperature': 45, 'time': 800, 'humidity': 'ambient', 'retained_percentage_cont': 95, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,
17,,PCBM,PIN,MeO-2PACz,SPM/PEAI,21.74,1.092,25.12,1.193,"{'test_name': 'ISOS-L', 'temperature': 25, 'time': 1000, 'humidity': None, 'retained_percentage_cont': 90, 'retained_percentage_tret': 90}",,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,2-Mercaptopyrimidine,,,21.7,1.12,"{'test_name': 'stability', 'temperature': None, 'time': 97, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': 90.0}",,,,,,,,,,,,,,,,,,,,,,,,,,2-Mercaptopyrimidine
20,,,,,Imidazole,,,20.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,Imidazole
21,,PCBM,,,N2200,11.95,0.72,12.98,0.79,"{'test_name': 'ISOS-D', 'temperature': 25, 'time': 1000, 'humidity': None, 'retained_percentage_cont': 90, 'retained_percentage_tret': 90}",,,,,,,,,,,,,,,,,,,,,,,,,,
22,FASnI3,PCBM,PIN,PEDOT,BDAI2,,,0.37,,"{'test_name': 'shelf_stability', 'temperature': None, 'time': 220, 'humidity': None, 'retained_percentage_cont': 91.33, 'retained_percentage_tret': 100}","{'test_name': 'on_off_stability', 'temperature': None, 'time': 1000, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,
23,FA 0.6 MA 0.4 PbI2.7 Cl0.3,SnO2,NIP,Spiro-OMeTAD,4-chlorobenzylammonium chloride (75%) and 4-chlorobenzylammonium bromide (25%),18.31,1.06,21.0,1.12,"{'test_name': 'ISOS-L', 'temperature': None, 'time': 672, 'humidity': None, 'retained_percentage_cont': 78, 'retained_percentage_tret': 88}",,,,,,,,,,,,,,,,,,,,,,,,,,4-chlorobenzylammonium chloride
24,CsPbI3,,,,HI,2.9,,1.7000000000000002,,"{'test_name': None, 'temperature': None, 'time': None, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,Hydroiodic acid
25,FA0.75MA0.25PbI3,TiO2/ITO,NIP,Spiro-OMeTAD,poly(2-(2-methoxyethoxy)ethylmethacrylate),18.4,,20.08,,"{'test_name': 'shelf-life', 'temperature': 25, 'time': 210, 'humidity': 35, 'retained_percentage_cont': 25, 'retained_percentage_tret': 480}",,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,DFH,DFH,20.6,,20.6,,"{'test_name': 'Stability test', 'temperature': 135, 'time': 20, 'humidity': None, 'retained_percentage_cont': 19.3, 'retained_percentage_tret': 19.3}",,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,S-benzyl-L-cysteine,,,,,"{'test_name': 'ISOS-L', 'temperature': 200, 'time': 24, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,
28,FAPbI3,Spiro-OMeTAD,n-i-p,ITO/SnO2,DTPA-CN,22.78,1.143,25.0,1.175,"{'test_name': 'Long-term storage stability', 'temperature': 25, 'time': 2040, 'humidity': None, 'retained_percentage_cont': 61, 'retained_percentage_tret': 90}",,,,,,,,,,,,,,,,,,,,,,,,,,
