id,year,title,json_output
0,2024,Role of carrier delocalization in enhancing the photostability and defect passivation of 2D/3D hybrid metal halide perovskites,"{'perovskite_composition': 'MAPbI3', 'electron_transport_layer': 'PEDOT:PSS', 'pin_nip_structure': 'NIP', 'hole_transport_layer': 'PCBM', 'passivating_molecule': 'DAAB', 'control_pce': 4.5, 'control_voc': 0.87, 'treated_pce': 12.6, 'treated_voc': 0.92, 'test_1': {'test_name': 'ISOS-L', 'temperature': 30, 'time': 1000, 'humidity': 70, 'retained_percentage_cont': 90, 'retained_percentage_tret': 68}, 'test_2': {'test_name': 'ISOS-L', 'temperature': 30, 'time': 1000, 'humidity': 70, 'retained_percentage_cont': 90, 'retained_percentage_tret': 50}}"
1,2024,Perovskite-Based Tandem Solar Cells,"{'perovskite_composition': None, 'electron_transport_layer': None, 'pin_nip_structure': None, 'hole_transport_layer': None, 'passivating_molecule': 'formamidine sulfinic acid (FSA)', 'control_pce': None, 'control_voc': None, 'treated_pce': 27, 'treated_voc': None, 'test_1': None}"
2,2024,Efficiency assessment of perovskite solar cells: A focus on hole transporting layers,"{'perovskite_composition': None, 'electron_transport_layer': None, 'pin_nip_structure': None, 'hole_transport_layer': None, 'passivating_molecule': None, 'control_pce': None, 'control_voc': None, 'treated_pce': None, 'treated_voc': None, 'test_1': {'test_name': 'ISOS-D', 'temperature': 85, 'time': 500, 'humidity': None, 'retained_percentage_cont': 57, 'retained_percentage_tret': 91}, 'test_2': {'test_name': 'ISOS-L', 'temperature': 85, 'time': 1000, 'humidity': None, 'retained_percentage_cont': 90, 'retained_percentage_tret': 82}}"
3,2024,Multifaceted Design of Surface Passivator for Upgraded Charge Extraction in Perovskite Solar Cells,"{'perovskite_composition': 'Cs 0.05 FA 0.9 MA 0.05 PbI 3', 'electron_transport_layer': None, 'pin_nip_structure': None, 'hole_transport_layer': None, 'passivating_molecule': 'Cyanoguanidine diiodide', 'control_pce': 20.44, 'control_voc': 1077, 'treated_pce': 23.04, 'treated_voc': 1119, 'test_1': {'test_name': 'ISOS-D', 'temperature': None, 'time': 60, 'humidity': None, 'retained_percentage_cont': 77, 'retained_percentage_tret': 83}}"
4,2024,An Universal Multi-Additive Strategy to Enhance Efficiency and Stability in Inverted Perovskite Solar Cells,"{
    ""perovskite_composition"": ""Cs 0.05 MA 0.14 FA 0.81 Pb(I 0.9 Br 0.1 ) 3 (NBg)"",
    ""electron_transport_layer"": ""TiO2"",
    ""pin_nip_structure"": ""PIN"",
    ""hole_transport_layer"": ""Spiro-OMeTAD"",
    ""passivating_molecule"": ""BMIM-BF4, OAm, BHC"",
    ""control_pce"": 16.35,
    ""control_voc"": 1.08,
    ""treated_pce"": 20.31,
    ""treated_voc"": 1.14,
    ""test_1"": {
        ""test_name"": ""ISOS-L-1"",
        ""temperature"": 25,
        ""time"": 135,
        ""humidity"": ""air"",
        ""retained_percentage_cont"": 100,
        ""retained_percentage_tret"": 100
    },
    ""test_2"": {
        ""test_name"": ""ISOS-T-1"",
        ""temperature"": 85,
        ""time"": 1500,
        ""humidity"": ""air"",
        ""retained_percentage_cont"": 100,
        ""retained_percentage_tret"": 100
    }
}
```

```json
{
    ""perovskite_composition"": ""Cs 0.17 FA 0.83 Pb(I 0.9 Br 0.1 ) 3 (WBg)"",
    ""electron_transport_layer"": ""TiO2"",
    ""pin_nip_structure"": ""PIN"",
    ""hole_transport_layer"": ""Spiro-OMeTAD"",
    ""passivating_molecule"": ""tBBAI"",
    ""control_pce"": 14.91,
    ""control_voc"": 1.07,
    ""treated_pce"": 23.5,
    ""treated_voc"": 1.14,
    ""test_1"": {
        ""test_name"": ""ISOS-L-1"",
        ""temperature"": 25,
        ""time"": 305,
        ""humidity"": ""air"",
        ""retained_percentage_cont"": 100,
        ""retained_percentage_tret"": 100
    },
    ""test_2"": {
        ""test_name"": ""ISOS-T-1"",
        ""temperature"": 85,
        ""time"": 8658,
        ""humidity"": ""air"",
        ""retained_percentage_cont"": 100,
        ""retained_percentage_tret"": 100
    }
}"
5,2024,Photocontrolled interfacial defect passivation of coumarin 151 with enhanced hydrophobicity for stable perovskite solar cell,"{'perovskite_composition': 'FAPbI3 0.85 (-MAPbBr3) 0.15', 'electron_transport_layer': 'Spiro-OMeTAD', 'pin_nip_structure': 'NIP', 'hole_transport_layer': None, 'passivating_molecule': '7-amino-4-trifluoromethylcoumarin (C151)', 'control_pce': 20.44, 'control_voc': 1.09, 'treated_pce': 22.46, 'treated_voc': 1.14, 'treated_jsc': 25.25, 'treated_ff': 78.31, 'test_1': {'test_name': 'aging', 'temperature': 20, 'time': 1000, 'humidity': '30-40%', 'retained_percentage_cont': None, 'retained_percentage_tret': 91}, 'test_2': {'test_name': 'high humidity', 'temperature': None, 'time': 150, 'humidity': '95%', 'retained_percentage_cont': 30, 'retained_percentage_tret': 70}, 'test_3': {'test_name': 'UV radiation', 'temperature': 25, 'time': 240, 'humidity': '30-40%', 'retained_percentage_cont': 41, 'retained_percentage_tret': 91}, 'test_4': {'test_name': 'heating', 'temperature': 85, 'time': None, 'humidity': '30-40%', 'retained_percentage_cont': None, 'retained_percentage_tret': 91}}"
6,2024,unknown,"{'perovskite_composition': 'FA0.83Cs0.17PbI0.6Br0.4', 'electron_transport_layer': 'PTAA', 'pin_nip_structure': 'PIN', 'hole_transport_layer': 'PFN-Br', 'passivating_molecule': '[BMP][BF4]', 'control_pce': None, 'control_voc': None, 'treated_pce': None, 'treated_voc': None, 'test_1': None}"
7,2024,Bifunctional passivation by lewis-base molecules for efficient printable mesoscopic perovskite solar cells,"{'perovskite_composition': None, 'electron_transport_layer': None, 'pin_nip_structure': None, 'hole_transport_layer': None, 'passivating_molecule': 'Thioacetamide (TAA)', 'control_pce': None, 'control_voc': None, 'treated_pce': 17.86, 'treated_voc': 0.971, 'test_1': None}"
8,2024,Air-processed perovskite solar cells with >25% efficiency and high stability enabled by crystallization modulation and holistic passivation,"{'perovskite_composition': None, 'electron_transport_layer': None, 'pin_nip_structure': None, 'hole_transport_layer': None, 'passivating_molecule': 'ICBA', 'control_pce': 22.4, 'control_voc': 1.15, 'treated_pce': 25.1, 'treated_voc': 1.19, 'test_1': {'test_name': None, 'temperature': 40, 'time': 1000, 'humidity': None, 'retained_percentage_cont': 98, 'retained_percentage_tret': None}}"
9,2024,Nanocrystal Diffusion in a Liquid Thin Film Observed by in situ Transmission,"{'perovskite_composition': 'FAPbI3', 'electron_transport_layer': 'SnO2', 'pin_nip_structure': 'NIP', 'hole_transport_layer': 'Spiro-MeOTAD', 'passivating_molecule': 'MASCN and FASCN', 'control_pce': 25.2, 'control_voc': 1.255, 'treated_pce': 22.4, 'treated_voc': 1.19, 'test_1': {'test_name': 'Thermal stability', 'temperature': 85, 'time': 500, 'humidity': 'Inert N2 environment', 'retained_percentage_cont': 97.8, 'retained_percentage_tret': 90}}"
