passage,sentence,doi
"A review of catalytic performance of metallic glasses in wastewater treatment: Recent progress and prospects. In comparison, the atomic packing structure of MGs seems like a “frozen” state in a short/medium-range ordered and a long-range disordered structure. The first MG with the atomic composition of Au75Si25 was produced by fast quenching technique to freeze the metallic liquid at a very high critical cooling rate of 10^(5)–10^(6) K/s in 1960 [144].","The first MG with the atomic composition of Au75Si25 was produced by fast quenching technique to freeze the metallic liquid at a very high critical cooling rate of 10^(5)–10^(6) K/s in 1960 [144].","10.1016/j.pmatsci.2019.100576"
"Metallic Glasses. Clean processing methods include incorporating the melt as a component of an emulsion, fluxing the melt, droplet levitation, and solidification in free fall (in a drop-tube) (Cahn and Greer 1996). The critical cooling rate for glass formation in a given alloy can be used to characterize its glass-forming ability (GFA), for which many attempts at analysis have been made (Cahn and Greer 1996).","The critical cooling rate for glass formation in a given alloy can be used to characterize its glass-forming ability (GFA), for which many attempts at analysis have been made (Cahn and Greer 1996).","10.1016/B0-08-043152-6/00967-0"
"Abnormal devitrification behavior and mechanical response of cold-rolled Mg-rich Mg-Cu-Gd metallic glasses. This has been explained in terms of chemical short-range ordering (CSRO) and topological short-range ordering (TSRO), respectively. However, such a sharp separation between TSRO and CSRO, criticized by Gibbs and Sinning [27] and Khonik et al. [28], is probably too simple to explain such a complex phenomenon, because CSRO is unlikely without an accompanying TSRO.","However, such a sharp separation between TSRO and CSRO, criticized by Gibbs and Sinning [27] and Khonik et al. [28], is probably too simple to explain such a complex phenomenon, because CSRO is unlikely without an accompanying TSRO.","10.1016/j.actamat.2016.06.026"
"Compressive ductility and fracture resistance in CuZr-based shape-memory metallic-glass composites. The enlarged view of the framed region in Fig. 5i-l shows the corresponding surface relief (SR) patterns, which are characteristic of the strain generated by the martensitic transformation. As noted in Fig. 5e, when the particle size exceeds a critical value, large cracks can be observed inside the crystalline particles, as shown in Fig. 5d, e, h. Such behavior of cracks initiating from inside CuZr particles has been previously reported for uniaxial compression (Jiang et al., 2007) and in situ tension testing (Sun et al., 2018) of CuZr glass composites.","As noted in Fig. 5e, when the particle size exceeds a critical value, large cracks can be observed inside the crystalline particles, as shown in Fig. 5d, e, h. Such behavior of cracks initiating from inside CuZr particles has been previously reported for uniaxial compression (Jiang et al., 2007) and in situ tension testing (Sun et al., 2018) of CuZr glass composites.","10.1016/j.ijplas.2020.102687"
"Competing microstructure and crystalline phase formation and their roles in glass formability: a molecular dynamics study. To prevent this paradox from happening, the FCC random crystalline solid solution would collapse into a denser phase, that is, to transform to a glass. For x=0.20, using the equation for ϕ fcc ^(b) and ϕ glass ^(b)=0.65, we can obtain the critical atomic size ratio at which this transition occurs, α C=0.73.","For x=0.20, using the equation for ϕ fcc ^(b) and ϕ glass ^(b)=0.65, we can obtain the critical atomic size ratio at which this transition occurs, α C=0.73.","10.1016/j.intermet.2004.04.037"
"Crystallization behaviour and thermal stability of two aluminium-based metallic glass powder materials. The main crystallization process is the precipitation and growth of fcc-Al. (2) The critical cooling rates were determined to be ∼1000K/s for the Al86Ni6Y4.5Co2La1.5 powder and ∼1500K/s for the Al85Ni5Y6Co2Fe2 powder.","(2) The critical cooling rates were determined to be ∼1000K/s for the Al86Ni6Y4.5Co2La1.5 powder and ∼1500K/s for the Al85Ni5Y6Co2Fe2 powder.","10.1016/j.msea.2011.09.107"
"Effect of (Mo, W) substitution for Nb on glass forming ability and magnetic properties of Fe–Co-based bulk amorphous alloys fabricated by centrifugal casting. The effect of replacing Nb with (Mo, W) on glass formation and magnetic properties of the Fe–Co-based bulk metallic glasses has been examined. Fully and partially amorphous Fe36Co36B19.2Si4.8X4 alloys with critical dimensions of 2mm and 1.5mm were obtained, respectively for X=Nb and X=Mo0.5W0.5 additions by conventional centrifugal casting.","Fully and partially amorphous Fe36Co36B19.2Si4.8X4 alloys with critical dimensions of 2mm and 1.5mm were obtained, respectively for X=Nb and X=Mo0.5W0.5 additions by conventional centrifugal casting.","10.1016/j.jallcom.2010.11.011"
"Glass formation and crystallization behavior in Mg65Cu25Y10−x Gd x (x=0, 5 and 10) alloys. For Mg65Cu25Y10-x Gd x alloy system, T rg increases slightly from 0.54 to 0.55 with the increase of x from 0 to 5 and then again decreases to 0.54 with further increasing x to 10, i.e. the Mg65Cu25Gd10 and Mg65Cu25Y10 alloys have almost same value of T rg, although there is a much difference in GFA. The critical cooling rate for glass formation (R c) in the Mg65Cu25Gd10 alloy is estimated to be about ∼1 K/s [18], which is several orders of magnitude smaller than that of the Mg65Cu25Y10 alloy.","The critical cooling rate for glass formation (R c) in the Mg65Cu25Gd10 alloy is estimated to be about ∼1 K/s [18], which is several orders of magnitude smaller than that of the Mg65Cu25Y10 alloy.","10.1016/j.msea.2003.10.254"
"Enthalpy relaxation and its relation to the thermodynamics and crystallization of the Zr58.5Cu15.6Ni12.8Al10.3Nb2.8 bulk metallic glass-forming alloy. The entropy of fusion and the critical cooling rate of V106a are 8.03J/g-atom/K and 1.75K/s, respectively, which are comparable to the values of about 8.8J/g-atom/K and 1K/s for Zr41.2Ti13.8Cu12.5Ni10.0Be22.5 (Vit1) [10]. These values are relatively small if compared with those of the ternary Mg64Cu25Y10 (about 11J/g-atom/K and 50K/s) [9], and those of the binary Zr62Ni38, which is known of having critical cooling rates of 10^(4) K/s [9,22].","These values are relatively small if compared with those of the ternary Mg64Cu25Y10 (about 11J/g-atom/K and 50K/s) [9], and those of the binary Zr62Ni38, which is known of having critical cooling rates of 10^(4) K/s [9,22].","10.1016/j.actamat.2006.09.040"
"Determination of forming ability of high pressure die casting for Zr-based metallic glass. (1) Critical size of industrial grade Zr55Cu30Ni5Al10 BMG is improved by a two-step arc-melting process and adding a trace of rare earth yttrium elements. (2) A modified model was developed to estimate the critical cooling rate of (Zr55Cu30Ni5Al10)99.8Y0.2 bulk metallic glass by considering the casting pressure effect.","(2) A modified model was developed to estimate the critical cooling rate of (Zr55Cu30Ni5Al10)99.8Y0.2 bulk metallic glass by considering the casting pressure effect.","10.1016/j.jmatprotec.2017.01.015"
