passivating_molecule,structure_pin_nip,perovskite_composition,perovskite_molecule,electron_transport_layer,hole_transport_layer,control_voc,test_1.temperature,test_1.control_pce,test_1.treated_voc,test_1.additive_molecule,test_1.treated_pce,test_1.stability_type,test_1.time,test_1.efficiency_cont,test_1.efficiency_tret,additive_molecule,control_element,treatment_element,treated_pce,control_pce,test_1.treatment_element,test_1.control_element,test_2.efficiency_tret,test_2.time,test_2.stability_type,test_2.treatment_element,test_2.control_element,test_2.efficiency_cont,test_3.electron_transport_layer,test_3.humidity,test_3.time,test_3.treatment_element,test_3.efficiency_tret,test_3.control_element,test_3.efficiency_cont,performance_1.electron_transport_layer,performance_1.treated_pce,treated_voc,test_1.passivating_molecule,performance_1.passivating_molecule,performance_1.treatment_element,performance_2.treated_pce,performance_2.passivating_molecule,performance_3.treated_pce,performance_3.passivating_molecule,performance_1.treated_voc,test_1.humidity,efficiency_tret,test_2.temperature,time,test_1.hole_transport_layer,test_3.stability_type,test_3.temperature,test_2.humidity,test_2.treated_pce,test_1.electron_transport_layer,test_1.perovskite_composition,test_2.additive_molecule,performance_1.control_pce,performance_1.additive_molecule,performance_2.additive_molecule,performance_3.treatment_element,test_1.control_voc,stability_type,test_2.passivating_molecule,performance_2.control_pce,performance_2.control_element,performance_2.treatment_element,test_2.control_pce,test_3.passivating_molecule,metal_contact,temperature,test_1.perovskite_molecule,humidity,performance_3.control_element,performance_3.control_pce,performance_1.control_element,performance_1.control_voc
NOTE:My understanding is that this is technology to be applied as PIN. Is this relevent??,pin,MA 0.07 FA 0.93 PbI 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NIP,,benzotriazole,SnO2,Spiro-OMeTAD,1.11,room temperature,20.2,1.16,BTaBr,21.8,ISOSL,24,0.98,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,formamidinium lead iodide,,,,,,,,,,,,,,"NOTE:Not relevent,Paper about HOW to make a molecular powder",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,NOTE:Treatment is temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NIP,,,Lanthanum oxide,,,,,,,,ISOSL,1920,0.927,0.975,,TinOxide,Lanthanum oxide / Tin Oxide Bilayer,"['23.24', '23.07%']",21.17,Lanthanum oxide / Tin Oxide Bilayer,TinOxide,0.91,180,ISOSLT,Lanthanum oxide / Tin Oxide Bilayer,TinOxide,0.83,ISOSL,75,120,Lanthanum oxide / Tin Oxide Bilayer,0.8,TinOxide,0.71,Lanthanum oxide / Tin Oxide Bilayer,23.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CF3-phenethylammonium,"['NIP', 'glass/ITO/PEDOT:PSS/perovskite/spiro-OMeTAD/Ag']",FAPbI3,,TinOxide,Spiro-OMeTAD,1.04,,,,,,,,,,,,,21.05,18.87,,,,,,,,,,,,,,,,,,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NIP,,"['formamidinium lead iodide', 'MAPbI 3', 'FA 0.5 MA 0.5 PbI 3']",TinOxide,Spiro-OMeTAD,,,,,,,,,,,,,,21.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['allylammonium', 'phenethylammonium', 'butylammonium']",,,,,Spiro-OMeTAD,,,,,,16.5,,650,,0.9,,,,,,allylammonium,,,,,,,,,,,,,,,,21,,ISOSL,allylammonium,ALA 2 (MA 0.14 FA 0.81 Cs 0.05 ) 9 -Pb 10 (I 0.85 Br 0.15 ) 29,12.1,phenethylammonium,11.5,butylammonium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,NOTE:Not particular molecule was used,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PIN,,,,PTAA,1.07,,,,,,,,,,,,,,16.9,,,,,,,,,,,,,,,,,20.3,,,PS Plastic Foam 1%,,,,,,1.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phenethylammonium,NIP,"['4-bromophenylethylammonium', '4-chlorophenylethylammonium']",,C 60,,,,,,,,,1000,,0.9,,,,,,,,,,,,,,,,,,,,,,,,(EDBE)PbI 4,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['chlorophenylethylammonium iodide', '4-fluoro-phenylethylammonium iodide']",PIN,Cs 0.05 (FA 5/6 MA 1/6 ) 0.95 Pb(I 0.9 Br 0.1 ) 3,,PCBM,PTAA,1.11,,,,,,,,,,,,,23.79,21.78,,,,,,,,,,,,,,,,,,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"['FA 0.85 MA 0.15 PbI 2.55 Br 0.45', 'Cs 0.05 FA 0.81 MA 0.14 PbI 2.55 Br 0.45']",,TitaniumDioxide,Spiro-OMeTAD,1.06,,,,,20.9,ISOSL,500,,0.9,,,,,15.8,chlorine capped TitaniumDioxide,,0.95,1440,ISOSD,chlorine capped TitaniumDioxide,,0.38,,,,,,,,,,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['methylammonium lead iodide', 'BAI']",NIP,CH 3 NH 3 PbI 3,,,,,,,,,,ISOSL,720,0.44,0.81,,,,"['16.5', '17.30']",,,,0.74,720,ISOST,,methylammonium lead iodide,0.27,,,,,,,,,,,,,,,,,,,55,0.83,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['diammonium iodides', 'C8', 'EDBE']",,CH 3 NH 3 PbI 3,,PCBM,,,,,,,,,,,,,,,17.6,14.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"['EDTA-complexed SnO2', 'SnO 2']",Spiro-OMeTAD,1.10,,,,,,ISOSD,2880,0.74,0.92,,,,21.6,18.93,EDTA-complexed SnO2,SnO 2,0.86,,ISOSL,EDTA-complexed SnO2,TinOxide,0.38,,,,,,,,,,1.11,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['ligand allylammonium', 'poly(methyl methacrylate']",NIP,Cs0.05FA0.8MA0.15PbI2.88Br0.04Cl0.08,,,,,room temperature,20,,,19.9,ISOST,80,0.5,0.99,,,,,,2.5D devices,3D device,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phenethylammonium,PIN,,,"['HC(NH 2 ) 2 -CH 3 NH 3', 'SnO 2']","['Spiro-OMeTAD', 'poly[bis(4-phenyl) (2,4,6-trimethylphenyl)amine] (PTAA)']",,85,,,,19.1,ISOST,500,,,,,,23.32,,phenethylammonium,,,,,,,,,,,,,,,,,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,NOTE:What is cross linked polymer reffered to as?,,POSS-EDMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['PCBM', 'MAPbI 3']",NIP,CH3NH3PbI3,,"['aluminum-doped zin oxide', 'tin oxide']",PEDOT:PSS,,23,,,,,ISOSLT,4300,0,1,,,aluminium-doped zinc oxide / tin oxide bilayer,12.8,,aluminum-doped zin oxide,,0.99,1032,ISOSLT,aluminium-doped zinc oxide / tin oxide bilayer,aluminum-doped zin oxide,0,,,,,,,,,,,,,,,,,,,50,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
